,accommodates,bedrooms,bathrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews
4650,2,1.0,1.0,1.0,150.0,4,31,113
7494,2,1.0,1.0,1.0,83.0,1,1125,63
6354,3,1.0,1.0,2.0,79.0,2,1125,58
4800,4,1.0,1.5,1.0,75.0,90,100,1
4775,2,1.0,1.0,1.0,129.0,3,30,32
1684,4,2.0,2.0,3.0,145.0,5,20,49
6300,6,2.0,1.0,5.0,160.0,4,365,29
6288,2,1.0,1.0,1.0,90.0,3,92,126
969,2,1.0,1.0,1.0,30.0,15,60,2
4245,2,0.0,1.0,1.0,60.0,3,1125,0
142,4,3.0,1.0,3.0,80.0,6,18,5
3211,7,3.0,1.5,4.0,255.0,91,1125,26
4659,2,1.0,1.0,1.0,70.0,2,1125,0
7236,4,1.0,1.0,1.0,180.0,2,1125,129
1559,4,1.0,1.0,2.0,135.0,2,150,157
386,2,1.0,1.0,1.0,115.0,2,14,86
7773,3,1.0,1.0,2.0,50.0,1,3,0
3326,3,1.0,1.0,2.0,109.0,3,365,6
4002,2,1.0,1.0,1.0,230.0,3,40,3
6981,4,1.0,1.0,2.0,140.0,3,1125,189
3523,2,1.0,1.0,1.0,38.0,3,1125,2
7042,2,0.0,1.0,1.0,60.0,3,30,301
3497,4,2.0,1.0,2.0,110.0,3,21,6
151,2,1.0,1.0,1.0,99.0,2,365,206
5509,3,2.0,1.0,1.0,150.0,5,1125,3
1199,4,2.0,1.0,2.0,80.0,2,15,9
1271,4,2.0,1.0,2.0,125.0,6,30,47
3306,4,1.0,1.0,2.0,169.0,7,120,1
6587,4,1.0,1.0,2.0,110.0,3,90,13
7813,2,1.0,1.0,1.0,80.0,3,100,41
3994,2,0.0,1.0,1.0,109.0,4,366,5
6978,5,1.0,1.0,1.0,100.0,14,18,40
3049,2,0.0,1.0,1.0,60.0,1,112,31
3435,4,1.0,1.0,3.0,79.0,4,1125,146
4331,2,1.0,1.0,1.0,50.0,4,18,29
7965,2,1.0,1.0,1.0,90.0,1,1125,0
3867,2,1.0,1.0,1.0,50.0,1,5,322
5040,2,0.0,1.0,1.0,59.0,5,60,15
2409,1,1.0,0.5,1.0,29.0,6,1125,57
4296,7,3.0,1.0,4.0,195.0,3,30,87
4104,4,1.0,1.5,0.0,155.0,3,1125,58
5209,5,1.0,1.5,3.0,95.0,4,1125,19
3475,2,1.0,1.0,1.0,99.0,2,7,56
4986,2,0.0,1.0,1.0,90.0,1,1125,0
4034,2,1.0,1.5,2.0,120.0,5,1125,20
3801,4,2.0,1.0,3.0,130.0,2,21,58
3460,2,0.0,1.0,1.0,67.0,28,1125,29
4128,4,1.0,1.0,2.0,90.0,3,21,122
4915,1,1.0,1.0,1.0,69.0,2,1125,75
7443,2,1.0,1.0,1.0,150.0,2,1125,12
5271,4,1.0,1.5,2.0,300.0,30,1125,24
6988,3,2.0,1.0,2.0,70.0,7,15,10
7763,4,2.0,1.0,2.0,84.0,2,1125,0
5834,2,1.0,1.0,1.0,102.0,3,40,55
6390,5,2.0,1.0,2.0,75.0,5,1125,0
7764,2,1.0,1.0,1.0,89.0,4,1125,15
2767,2,1.0,1.0,1.0,99.0,7,30,33
7766,4,1.0,1.5,2.0,150.0,2,1125,4
5232,9,5.0,2.0,6.0,380.0,2,1125,48
6683,6,2.0,1.0,2.0,99.0,2,1125,76
6325,6,3.0,2.0,3.0,210.0,4,31,3
2347,5,2.0,1.0,1.0,90.0,2,1125,0
2665,4,2.0,1.0,3.0,65.0,10,31,19
2914,4,1.0,1.0,2.0,71.0,3,1125,20
7159,2,0.0,1.0,1.0,60.0,4,1125,74
7263,3,1.0,1.0,2.0,50.0,2,180,4
5757,10,4.0,3.0,5.0,350.0,3,1125,1
7876,4,1.0,1.0,2.0,120.0,4,1125,23
4233,2,0.0,1.0,1.0,65.0,366,366,2
4055,2,0.0,1.0,2.0,65.0,5,1125,35
4478,6,2.0,1.0,4.0,139.0,4,120,83
5704,2,1.0,1.0,1.0,100.0,2,1125,18
7492,4,1.0,1.0,1.0,70.0,6,112,35
3221,2,1.0,1.0,1.0,140.0,91,1125,4
3165,4,1.0,1.0,2.0,110.0,5,20,35
4550,4,1.0,1.0,2.0,240.0,2,365,156
1263,4,1.0,1.0,2.0,70.0,1,1125,138
884,6,2.0,1.0,4.0,109.0,3,1125,17
7495,2,1.0,1.0,1.0,200.0,3,1125,0
5615,4,1.0,1.0,2.0,65.0,6,1125,5
6962,2,1.0,1.0,1.0,45.0,2,34,49
1372,4,2.0,1.0,2.0,118.0,3,1125,7
3595,6,3.0,1.0,3.0,200.0,5,14,1
1648,3,1.0,1.0,1.0,85.0,3,15,13
3682,3,1.0,1.0,1.0,79.0,100,1125,24
853,6,2.0,1.5,5.0,150.0,5,30,4
843,4,1.0,1.0,2.0,120.0,7,1125,0
6831,2,1.0,1.0,1.0,90.0,3,1125,0
